model_key,display_name,region,order_index,display.size_in,display.panel,display.promotion,display.gamut,display.true_tone,display.anti_reflective,display.nano_texture_option,processor.soc,processor.cpu_cores,processor.gpu_cores,processor.neural_engine_cores,apple_intelligence,rear_camera.wide_mp,rear_camera.ultra_wide_mp,rear_camera.video,front_camera.mp,front_camera.position,front_camera.center_stage,front_camera.truedepth,connector,price.currency,price.symbol,price.from_price,price.raw_text,storage.options_gb,storage.min_gb,storage.max_gb,storage.raw_text,finish_colors
model-32,Model 32,IN,31,,,True,(13″) Liquid Retina display 1,True,True,True,,,,,True,,,,,,,,,,,,,,,,,
model-33,Model 33,IN,32,,,True,1,True,True,True,,,,,True,,,,,,,,,,,,,,,,,
model-34,Model 34,IN,33,,,True,(11″) Liquid Retina display 1,True,True,True,,,,,True,,,,,,,,,,,,,,,,,
model-35,Model 35,IN,34,,,True,1,True,True,True,,,,,True,,,,,,,,,,,,,,,,,
model-36,Model 36,IN,35,,,True,(10.9″) Liquid Retina display 1,True,True,True,,,,,True,,,,,,,,,,,,,,,,,
model-37,Model 37,IN,36,,,True,1,True,True,True,,,,,True,,,,,,,,,,,,,,,,,
model-38,Model 38,IN,37,,,True,(10.9″) Liquid Retina display 1,True,True,True,,,,,True,,,,,,,,,,,,,,,,,
model-39,Model 39,IN,38,,,True,1,True,True,True,,,,,True,,,,,,,,,,,,,,,,,
model-40,Model 40,IN,39,,,True,(10.5″) Retina display,True,True,True,,,,,True,,,,,,,,,,,,,,,,,
model-41,Model 41,IN,40,,,True,(9.7″) Retina display,True,True,True,,,,,True,,,,,,,,,,,,,,,,,
model-42,Model 42,IN,41,,,True,(10.9″) Liquid Retina display 1,True,True,True,,,,,True,,,,,,,,,,,,,,,,,
model-43,Model 43,IN,42,,,True,1,True,True,True,,,,,True,,,,,,,,,,,,,,,,,
model-44,Model 44,IN,43,,,True,(10.2″) Retina display,True,True,True,,,,,True,,,,,,,,,,,,,,,,,
model-45,Model 45,IN,44,,,True,(9.7″) Retina display,True,True,True,,,,,True,,,,,,,,,,,,,,,,,
model-46,Model 46,IN,45,,,True,(8.3″) Liquid Retina display 1,True,True,True,,,,,True,,,,,,,,,,,,,,,,,
model-47,Model 47,IN,46,,,True,1,True,True,True,,,,,True,,,,,,,,,,,,,,,,,
model-48,Model 48,IN,47,,,True,(7.9″) Retina display,True,True,True,,,,,True,,,,,,,,,,,,,,,,,
model-49,Model 49,IN,48,,,True,,True,True,True,,,,,True,,,,,,,,,,,,,,,,,
model-50,Model 50,IN,49,,,True,,True,True,True,,,,,True,,,,,,,,,,,,,,,,,
